Vehicle Type,Pickup Location,Drop Location,Booking Value,Ride Distance
Premier,Sadashivanagar,Whitefield,0.0,0.0
Non-AC Taxi,Koramangala,RT Nagar,0.0,0.0
Go Sedan,Bannerghatta Road,Varthur,0.0,0.0
eBike,Hebbal,Basavanagudi,1447.94,26.95
Non-AC Taxi,Sadashivanagar,KR Puram,0.0,0.0
Go Sedan,Hulimavu,KR Puram,609.72,20.47
Premier,Magadi Road,Bommanahalli,0.0,0.0
Go Sedan,Sarjapur Road,Sadashivanagar,0.0,0.0
UberXL,Hormavu,CV Raman Nagar,0.0,0.0
UberXL,Marathahalli,Malleswaram,1685.18,20.28
Premier,Hormavu,Koramangala,0.0,0.0
eBike,Kengeri,Magadi Road,221.96,8.99
Moto,Shivaji Nagar,Anekal,1871.63,24.5
UberXL,Vidyaranyapura,Electronic City,1954.98,21.99
Non-AC Taxi,Basavanagudi,Marathahalli,0.0,0.0
Premier,Rajajinagar,Koramangala,0.0,0.0
Non-AC Taxi,Koramangala,Electronic City,948.8,9.22
Uber Go,Vidyaranyapura,Indiranagar,962.85,29.02
Uber Go,Basavanagudi,Hulimavu,1823.77,13.83
Go Sedan,Malleswaram,Anekal,434.55,21.45
Uber Go,Banashankari,Banashankari,321.26,6.44
Go Sedan,Koramangala,Jayanagar,0.0,0.0
Uber Go,Benson Town,Bommanahalli,1232.42,9.88
Premier,Frazer Town,Hulimavu,0.0,0.0
Premier,Bannerghatta Road,KR Puram,406.3,6.3
Premier,Koramangala,Lingarajapuram,0.0,0.0
Go Sedan,Varthur,KR Puram,1887.55,16.45
Premier,Kammanahalli,MG Road,158.93,29.25
Moto,Hormavu,Bannerghatta Road,1279.57,28.37
Uber Go,Koramangala,Richmond Town,466.94,2.16
Uber Go,Sarjapur Road,Magadi Road,0.0,0.0
UberXL,Shivaji Nagar,Yelahanka,0.0,0.0
Premier,Frazer Town,Yelahanka,0.0,0.0
Moto,Hormavu,Frazer Town,70.85,1.31
Uber Go,Kengeri,Koramangala,0.0,0.0
UberXL,Whitefield,Hebbal,0.0,0.0
Go Sedan,Varthur,Malleswaram,1854.86,7.51
Moto,Shivaji Nagar,Yeshwanthpur,217.31,12.44
eBike,Bellandur,Malleswaram,568.58,18.3
UberXL,Basavanagudi,Nagarbhavi,1475.1,3.85
Uber Go,Richmond Town,Hormavu,0.0,0.0
Moto,Bannerghatta Road,Domlur,0.0,0.0
Moto,MG Road,Richmond Town,1837.62,21.51
Moto,Malleswaram,Koramangala,1311.02,12.91
Non-AC Taxi,JP Nagar,Vijayanagar,0.0,0.0
Uber Go,Basavanagudi,Kengeri,0.0,0.0
UberXL,Magadi Road,Ulsoor,1422.3,16.74
Uber Go,RT Nagar,HSR Layout,1684.54,10.33
Moto,Frazer Town,Yelahanka,0.0,0.0
Go Sedan,Electronic City,Kadugodi,237.21,24.55
UberXL,Bommanahalli,Hebbal,0.0,0.0
Premier,Varthur,Magadi Road,0.0,0.0
Non-AC Taxi,Sadashivanagar,Cox Town,0.0,0.0
Moto,Basaveshwaranagar,BTM Layout,1224.33,28.38
Go Sedan,Yeshwanthpur,Ulsoor,195.77,17.95
Go Sedan,Ulsoor,Hulimavu,345.72,19.86
Non-AC Taxi,Vijayanagar,Bellandur,0.0,0.0
Go Sedan,Electronic City,Lingarajapuram,0.0,0.0
UberXL,Hulimavu,Vidyaranyapura,0.0,0.0
eBike,Ulsoor,Whitefield,734.07,24.3
Non-AC Taxi,Magadi Road,JP Nagar,1999.3,15.84
Go Sedan,CV Raman Nagar,Sarjapur Road,889.01,14.75
Uber Go,Richmond Town,JP Nagar,0.0,0.0
UberXL,Nagarbhavi,Hulimavu,772.74,24.89
Moto,Bommanahalli,Bellandur,0.0,0.0
UberXL,Shivaji Nagar,Dasarahalli,1417.81,13.83
eBike,Nagarbhavi,Yelahanka,60.44,28.54
Premier,Jayanagar,Bommanahalli,1786.72,17.05
Non-AC Taxi,Sadashivanagar,CV Raman Nagar,0.0,0.0
Moto,Lingarajapuram,Vidyaranyapura,0.0,0.0
Non-AC Taxi,Basavanagudi,Kammanahalli,1862.95,22.52
Non-AC Taxi,Cox Town,Yelahanka,0.0,0.0
eBike,Richmond Town,Yelahanka,1166.48,27.67
UberXL,Jayanagar,Bellandur,1161.75,27.02
Moto,MG Road,HSR Layout,1944.15,20.08
UberXL,Sadashivanagar,Dasarahalli,968.29,6.22
Non-AC Taxi,Frazer Town,CV Raman Nagar,0.0,0.0
Uber Go,Bellandur,Dasarahalli,0.0,0.0
Uber Go,Dasarahalli,Kammanahalli,128.32,29.2
Go Sedan,Mahadevapura,Rajajinagar,957.85,6.34
UberXL,Kammanahalli,Vijayanagar,0.0,0.0
Moto,BTM Layout,Rajajinagar,0.0,0.0
Go Sedan,KR Puram,JP Nagar,1911.85,2.86
UberXL,CV Raman Nagar,Rajajinagar,1089.21,27.63
Uber Go,Banashankari,Domlur,132.16,1.87
UberXL,Sarjapur Road,Hormavu,0.0,0.0
Go Sedan,Dasarahalli,Lingarajapuram,421.39,25.88
Non-AC Taxi,Kammanahalli,Vijayanagar,1139.66,2.46
UberXL,Varthur,Jayanagar,0.0,0.0
Moto,KR Puram,Yeshwanthpur,563.33,14.54
Premier,HSR Layout,Koramangala,0.0,0.0
Uber Go,BTM Layout,Basavanagudi,0.0,0.0
Go Sedan,Kudlu Gate,Koramangala,0.0,0.0
Uber Go,Whitefield,Cox Town,1993.45,1.22
Uber Go,Hennur,Vidyaranyapura,0.0,0.0
Premier,MG Road,Nagarbhavi,0.0,0.0
Non-AC Taxi,Shivaji Nagar,Basaveshwaranagar,1912.75,27.79
Premier,MG Road,Cox Town,1334.9,25.15
UberXL,Koramangala,Sarjapur Road,1919.08,26.98
eBike,Basavanagudi,Kammanahalli,0.0,0.0
Moto,Ulsoor,Basavanagudi,385.46,26.15
Uber Go,Jayanagar,Marathahalli,0.0,0.0
Premier,Kudlu Gate,Yeshwanthpur,0.0,0.0
Go Sedan,Hebbal,Koramangala,0.0,0.0
UberXL,Ulsoor,Hormavu,435.42,2.66
Uber Go,Dasarahalli,Rajajinagar,441.2,28.7
eBike,Marathahalli,Hebbal,0.0,0.0
Go Sedan,Lingarajapuram,Bannerghatta Road,0.0,0.0
Go Sedan,Frazer Town,Yeshwanthpur,0.0,0.0
Go Sedan,Yeshwanthpur,Marathahalli,1094.83,24.42
Uber Go,Hosur Road,Richmond Town,0.0,0.0
Non-AC Taxi,Bannerghatta Road,Dasarahalli,388.42,17.69
UberXL,Mahadevapura,Varthur,0.0,0.0
Premier,Cox Town,Kammanahalli,0.0,0.0
UberXL,Sadashivanagar,Domlur,0.0,0.0
Non-AC Taxi,Sarjapur Road,Mahadevapura,1907.69,29.13
UberXL,Koramangala,Basaveshwaranagar,628.6,4.14
Non-AC Taxi,Vidyaranyapura,Hebbal,0.0,0.0
Go Sedan,Cox Town,Mahadevapura,0.0,0.0
Premier,Benson Town,HSR Layout,1711.99,27.99
Non-AC Taxi,Hormavu,Hulimavu,416.57,20.89
Premier,Bellandur,Richmond Town,0.0,0.0
Non-AC Taxi,Yelahanka,Basavanagudi,376.73,5.69
Uber Go,Whitefield,RT Nagar,1715.47,24.06
Go Sedan,Indiranagar,Hebbal,1420.31,17.25
Moto,Frazer Town,Whitefield,748.29,26.28
Go Sedan,Yeshwanthpur,Hulimavu,0.0,0.0
Premier,Vijayanagar,Hebbal,0.0,0.0
Uber Go,HSR Layout,Kammanahalli,133.49,25.68
Non-AC Taxi,Kengeri,Hebbal,757.5,11.27
Premier,Lingarajapuram,Anekal,0.0,0.0
Non-AC Taxi,Yeshwanthpur,Anekal,0.0,0.0
Go Sedan,Benson Town,Dasarahalli,472.48,16.66
eBike,Magadi Road,CV Raman Nagar,1850.37,11.18
Go Sedan,Rajajinagar,Devanahalli,1421.26,12.32
Moto,Kudlu Gate,Bommanahalli,1350.03,3.19
Go Sedan,Richmond Town,Bannerghatta Road,0.0,0.0
Non-AC Taxi,Ulsoor,Bannerghatta Road,244.93,22.34
Moto,HSR Layout,Devanahalli,1351.52,23.29
Moto,Indiranagar,Frazer Town,389.08,10.05
UberXL,Cox Town,Jayanagar,0.0,0.0
eBike,Hennur,Anekal,1641.69,22.78
Moto,Anekal,Mahadevapura,0.0,0.0
Moto,Hormavu,Cox Town,567.41,21.49
eBike,Whitefield,Hennur,0.0,0.0
Go Sedan,Domlur,Hennur,1332.84,1.79
Moto,Sadashivanagar,KR Puram,660.59,26.54
Go Sedan,Nagarbhavi,Anekal,1795.86,6.3
Moto,Indiranagar,JP Nagar,241.35,20.43
Non-AC Taxi,Indiranagar,Mahadevapura,1979.37,24.45
Premier,RT Nagar,Sarjapur Road,536.41,15.26
Premier,Malleswaram,Magadi Road,0.0,0.0
eBike,Hennur,Devanahalli,0.0,0.0
Moto,Richmond Town,Basaveshwaranagar,709.59,9.08
Uber Go,MG Road,Richmond Town,1510.48,17.99
Premier,Lingarajapuram,Electronic City,0.0,0.0
Uber Go,Indiranagar,Malleswaram,603.81,9.78
Premier,KR Puram,Hosur Road,724.0,13.49
Premier,Bellandur,Benson Town,653.85,18.03
Moto,Frazer Town,CV Raman Nagar,1382.94,17.53
Go Sedan,Dasarahalli,Kadugodi,1413.05,6.44
Go Sedan,Kammanahalli,Sarjapur Road,281.55,27.54
Moto,Kammanahalli,Yelahanka,1388.37,25.23
UberXL,Frazer Town,Basavanagudi,0.0,0.0
Uber Go,Nagarbhavi,Vijayanagar,1822.03,1.46
Moto,RT Nagar,Cox Town,604.67,3.62
Uber Go,Sadashivanagar,Basaveshwaranagar,67.04,1.85
Moto,Vidyaranyapura,Kammanahalli,0.0,0.0
Moto,Vidyaranyapura,Bellandur,0.0,0.0
UberXL,Bellandur,Anekal,509.65,16.63
eBike,Whitefield,Hulimavu,702.81,29.33
eBike,Marathahalli,Electronic City,0.0,0.0
Non-AC Taxi,Cox Town,Varthur,0.0,0.0
Uber Go,Koramangala,JP Nagar,62.19,8.27
Moto,Jayanagar,Rajajinagar,282.12,1.49
Uber Go,Sarjapur Road,KR Puram,0.0,0.0
Go Sedan,Indiranagar,Anekal,1213.45,27.14
Premier,Domlur,Sadashivanagar,327.71,11.66
Uber Go,Electronic City,Domlur,1623.68,6.39
Premier,MG Road,Domlur,0.0,0.0
Moto,BTM Layout,Domlur,0.0,0.0
Uber Go,Basaveshwaranagar,Sadashivanagar,387.71,28.32
Go Sedan,Shivaji Nagar,Sadashivanagar,0.0,0.0
eBike,Frazer Town,Vijayanagar,384.88,7.23
Go Sedan,Rajajinagar,Marathahalli,0.0,0.0
Uber Go,Vijayanagar,Richmond Town,326.64,3.2
eBike,Rajajinagar,Anekal,0.0,0.0
Moto,Ulsoor,Yeshwanthpur,634.54,18.11
eBike,Sarjapur Road,Jayanagar,0.0,0.0
eBike,Banashankari,Yeshwanthpur,188.37,29.77
Non-AC Taxi,Anekal,Hennur,1702.02,1.44
Premier,Malleswaram,Shivaji Nagar,783.78,12.09
UberXL,Richmond Town,Varthur,948.5,1.28
eBike,Anekal,Sarjapur Road,1420.86,25.18
Uber Go,Basavanagudi,Shivaji Nagar,0.0,0.0
Non-AC Taxi,MG Road,Kadugodi,0.0,0.0
Non-AC Taxi,Marathahalli,Rajajinagar,145.83,7.21
eBike,HSR Layout,Mahadevapura,277.72,4.3
Uber Go,RT Nagar,RT Nagar,0.0,0.0
Go Sedan,Basaveshwaranagar,BTM Layout,0.0,0.0
Uber Go,Nagarbhavi,Basavanagudi,772.94,3.88
Uber Go,Rajajinagar,Mahadevapura,838.43,14.84
Moto,Banashankari,Frazer Town,0.0,0.0
eBike,Shivaji Nagar,Bommanahalli,0.0,0.0
Premier,BTM Layout,Kammanahalli,363.59,15.14
Non-AC Taxi,Kengeri,Cox Town,465.91,14.0
Go Sedan,Banashankari,Kengeri,835.99,24.53
Go Sedan,Electronic City,Marathahalli,0.0,0.0
Premier,Hormavu,Jayanagar,237.25,4.47
eBike,Mahadevapura,Magadi Road,0.0,0.0
UberXL,Whitefield,KR Puram,654.13,15.12
Non-AC Taxi,Vijayanagar,Sarjapur Road,0.0,0.0
Premier,Electronic City,Kudlu Gate,0.0,0.0
Go Sedan,Vijayanagar,Sadashivanagar,0.0,0.0
Moto,JP Nagar,Basavanagudi,0.0,0.0
Go Sedan,Marathahalli,Richmond Town,1017.72,7.27
Go Sedan,Hennur,Varthur,1962.42,10.38
eBike,Sarjapur Road,Kammanahalli,1994.54,19.0
UberXL,Bommanahalli,Basaveshwaranagar,560.7,21.08
eBike,BTM Layout,Shivaji Nagar,333.13,25.64
Moto,Rajajinagar,Yelahanka,0.0,0.0
Premier,Bommanahalli,Lingarajapuram,0.0,0.0
Moto,Yelahanka,Hormavu,0.0,0.0
Non-AC Taxi,Jayanagar,Banashankari,0.0,0.0
UberXL,Lingarajapuram,RT Nagar,655.4,7.24
Uber Go,Bellandur,Anekal,0.0,0.0
Go Sedan,Rajajinagar,Ulsoor,0.0,0.0
Uber Go,Kudlu Gate,Rajajinagar,0.0,0.0
UberXL,Hormavu,Jayanagar,1736.99,11.11
Moto,Koramangala,Lingarajapuram,0.0,0.0
eBike,Varthur,Rajajinagar,182.61,26.13
UberXL,Kadugodi,Kudlu Gate,141.26,29.59
eBike,Jayanagar,Benson Town,0.0,0.0
eBike,Vijayanagar,Rajajinagar,390.02,28.21
Moto,Bellandur,Basaveshwaranagar,0.0,0.0
eBike,Hennur,Yeshwanthpur,135.99,6.49
Uber Go,Domlur,Hulimavu,285.35,25.89
eBike,Vidyaranyapura,Nagarbhavi,1949.91,4.5
Uber Go,Bommanahalli,Mahadevapura,0.0,0.0
eBike,Banashankari,Richmond Town,0.0,0.0
Moto,CV Raman Nagar,Bannerghatta Road,0.0,0.0
UberXL,Nagarbhavi,Hosur Road,1110.43,27.13
Non-AC Taxi,MG Road,HSR Layout,857.31,13.67
Uber Go,HSR Layout,Malleswaram,0.0,0.0
eBike,Sadashivanagar,Varthur,827.7,2.55
Non-AC Taxi,Basavanagudi,Shivaji Nagar,1161.35,23.75
Go Sedan,Ulsoor,Sadashivanagar,1176.69,19.28
Go Sedan,HSR Layout,Jayanagar,0.0,0.0
Moto,Kadugodi,Hebbal,1654.47,24.54
Uber Go,Marathahalli,JP Nagar,0.0,0.0
Uber Go,Rajajinagar,Bannerghatta Road,1781.48,20.48
eBike,Yelahanka,Kammanahalli,841.95,17.95
Non-AC Taxi,Vijayanagar,Koramangala,385.99,17.12
UberXL,Magadi Road,Anekal,1046.31,11.06
eBike,Ulsoor,Bommanahalli,0.0,0.0
Premier,Yeshwanthpur,BTM Layout,788.23,13.57
UberXL,Vidyaranyapura,Sadashivanagar,558.45,8.88
Non-AC Taxi,HSR Layout,Frazer Town,69.99,14.63
Go Sedan,Basaveshwaranagar,Hulimavu,0.0,0.0
Uber Go,Vidyaranyapura,Whitefield,1908.43,25.74
Uber Go,Hulimavu,Lingarajapuram,0.0,0.0
UberXL,Kammanahalli,Banashankari,0.0,0.0
Moto,Devanahalli,Domlur,1435.24,17.7
eBike,Shivaji Nagar,Hulimavu,69.56,25.64
Non-AC Taxi,Varthur,Kengeri,0.0,0.0
Go Sedan,Basaveshwaranagar,Bommanahalli,1975.4,2.04
Premier,Domlur,Vijayanagar,1940.19,14.63
Premier,Electronic City,Rajajinagar,843.44,8.38
Moto,Mahadevapura,Cox Town,354.25,28.3
Moto,Koramangala,Kadugodi,204.52,3.5
Uber Go,Vidyaranyapura,Indiranagar,665.41,6.88
UberXL,Rajajinagar,Frazer Town,263.49,28.44
UberXL,Yelahanka,Indiranagar,0.0,0.0
Premier,Vidyaranyapura,Varthur,1647.49,20.71
Go Sedan,Electronic City,Magadi Road,0.0,0.0
Moto,CV Raman Nagar,Yeshwanthpur,1391.75,15.02
Moto,Vijayanagar,Banashankari,0.0,0.0
Moto,Basaveshwaranagar,Yeshwanthpur,0.0,0.0
Uber Go,Koramangala,Hormavu,0.0,0.0
Premier,Anekal,Ulsoor,487.23,22.4
UberXL,Magadi Road,Lingarajapuram,0.0,0.0
Go Sedan,Mahadevapura,Basavanagudi,1901.99,9.54
Go Sedan,Hennur,Ulsoor,0.0,0.0
Go Sedan,Vidyaranyapura,Vidyaranyapura,242.36,12.91
Uber Go,Nagarbhavi,Domlur,0.0,0.0
Uber Go,Whitefield,Sarjapur Road,0.0,0.0
Go Sedan,Electronic City,Bannerghatta Road,0.0,0.0
eBike,Kadugodi,RT Nagar,816.61,21.77
Premier,Shivaji Nagar,Hennur,586.53,15.07
eBike,Varthur,Cox Town,1952.99,24.23
eBike,MG Road,Benson Town,1399.0,8.45
Moto,Basavanagudi,Indiranagar,58.67,1.46
Premier,Kadugodi,Electronic City,1810.6,2.17
UberXL,Magadi Road,Hosur Road,956.97,4.92
Go Sedan,Nagarbhavi,Vijayanagar,736.97,21.68
Non-AC Taxi,Bannerghatta Road,Sarjapur Road,242.05,29.63
eBike,MG Road,Koramangala,1493.81,21.45
UberXL,Devanahalli,Yelahanka,1944.4,25.67
UberXL,MG Road,Magadi Road,0.0,0.0
Premier,Lingarajapuram,Varthur,1743.36,26.91
eBike,Shivaji Nagar,Domlur,1564.23,17.07
UberXL,MG Road,Frazer Town,1690.18,18.11
Go Sedan,Yelahanka,Indiranagar,0.0,0.0
Non-AC Taxi,Sarjapur Road,Domlur,596.58,24.69
UberXL,Bellandur,Sadashivanagar,1098.69,19.36
Non-AC Taxi,Yeshwanthpur,Jayanagar,561.63,22.43
Premier,Frazer Town,Sadashivanagar,0.0,0.0
Non-AC Taxi,Indiranagar,Kadugodi,256.28,18.98
eBike,CV Raman Nagar,Hebbal,0.0,0.0
UberXL,Yelahanka,Bellandur,1485.5,21.32
UberXL,Domlur,Whitefield,1549.1,26.91
eBike,Yeshwanthpur,Bellandur,1411.72,27.37
Uber Go,Marathahalli,Electronic City,0.0,0.0
Moto,BTM Layout,Koramangala,294.96,3.0
eBike,KR Puram,JP Nagar,0.0,0.0
Moto,Hennur,Koramangala,189.16,3.75
UberXL,Rajajinagar,Vijayanagar,1707.19,16.66
eBike,Kudlu Gate,Jayanagar,0.0,0.0
Premier,Anekal,Koramangala,719.48,19.61
Non-AC Taxi,Domlur,Hosur Road,1763.8,1.07
Go Sedan,Mahadevapura,Kammanahalli,0.0,0.0
Moto,Yelahanka,Bannerghatta Road,826.4,15.54
Uber Go,Bannerghatta Road,Kadugodi,0.0,0.0
Uber Go,Kammanahalli,Hennur,475.92,8.54
Premier,Yeshwanthpur,Basavanagudi,0.0,0.0
Uber Go,Devanahalli,Bommanahalli,0.0,0.0
Go Sedan,Mahadevapura,Bannerghatta Road,1831.74,8.86
Premier,Kudlu Gate,Whitefield,721.44,7.85
Uber Go,Richmond Town,Rajajinagar,0.0,0.0
UberXL,Hosur Road,Benson Town,1867.45,22.41
Premier,Ulsoor,Hennur,0.0,0.0
UberXL,Kadugodi,Kengeri,747.95,22.85
Moto,Bommanahalli,Jayanagar,178.22,12.03
Non-AC Taxi,Varthur,Hormavu,233.87,10.73
Premier,Benson Town,Cox Town,1078.47,8.8
Premier,Yeshwanthpur,Hulimavu,0.0,0.0
Moto,Koramangala,Electronic City,0.0,0.0
Moto,Cox Town,Kammanahalli,0.0,0.0
Premier,Yelahanka,Shivaji Nagar,1577.91,4.51
Moto,Sadashivanagar,Frazer Town,993.78,18.34
Go Sedan,Domlur,Basavanagudi,1229.12,25.87
Go Sedan,Basaveshwaranagar,Vijayanagar,1982.28,18.98
Premier,Richmond Town,Mahadevapura,1456.53,4.77
Non-AC Taxi,Basaveshwaranagar,Kadugodi,834.45,23.17
Non-AC Taxi,Sadashivanagar,Nagarbhavi,1263.54,3.46
Moto,Basaveshwaranagar,Lingarajapuram,146.89,28.1
eBike,Mahadevapura,Vijayanagar,1061.24,4.71
Go Sedan,Bommanahalli,Vidyaranyapura,1009.89,14.82
Premier,Hebbal,Kengeri,399.01,6.2
Go Sedan,Benson Town,Hennur,1643.72,10.24
Premier,Bommanahalli,Cox Town,1562.8,2.58
Non-AC Taxi,Vidyaranyapura,Richmond Town,1027.0,25.93
Non-AC Taxi,Malleswaram,Lingarajapuram,1410.8,20.02
Uber Go,Kengeri,Hulimavu,922.7,28.66
Uber Go,Jayanagar,Malleswaram,0.0,0.0
Non-AC Taxi,Magadi Road,Frazer Town,0.0,0.0
Premier,Jayanagar,Hosur Road,0.0,0.0
Premier,Hormavu,Mahadevapura,839.07,25.6
Moto,RT Nagar,Vijayanagar,0.0,0.0
Uber Go,Anekal,Bellandur,1479.77,4.69
Uber Go,Kadugodi,Kadugodi,1515.44,22.54
eBike,Bommanahalli,BTM Layout,1336.87,27.97
Moto,Whitefield,Indiranagar,1343.32,27.15
Go Sedan,Benson Town,Bellandur,0.0,0.0
Go Sedan,Domlur,Sadashivanagar,1552.2,7.9
Uber Go,Indiranagar,Vijayanagar,884.75,1.52
Moto,Benson Town,Hosur Road,0.0,0.0
eBike,CV Raman Nagar,Basaveshwaranagar,1993.15,2.22
UberXL,Magadi Road,KR Puram,254.75,9.1
Go Sedan,Mahadevapura,Richmond Town,515.25,1.11
UberXL,Hulimavu,BTM Layout,1924.57,27.69
Premier,Frazer Town,KR Puram,0.0,0.0
Non-AC Taxi,Kudlu Gate,Banashankari,1750.99,11.09
Premier,Vidyaranyapura,Hormavu,0.0,0.0
Go Sedan,Sarjapur Road,Marathahalli,1400.3,28.63
Premier,Vidyaranyapura,Sadashivanagar,0.0,0.0
Premier,Marathahalli,RT Nagar,1048.95,4.2
Go Sedan,Hulimavu,Jayanagar,219.05,2.83
Uber Go,Malleswaram,Marathahalli,311.37,1.43
Non-AC Taxi,Sarjapur Road,Hosur Road,0.0,0.0
eBike,BTM Layout,Cox Town,351.85,3.31
eBike,RT Nagar,Kudlu Gate,1961.56,20.8
Moto,KR Puram,Ulsoor,1454.87,6.52
UberXL,Hormavu,Dasarahalli,481.3,17.16
Go Sedan,Bellandur,Anekal,0.0,0.0
eBike,MG Road,Kammanahalli,863.0,27.26
UberXL,Hulimavu,Kammanahalli,1153.68,20.54
Go Sedan,Marathahalli,MG Road,0.0,0.0
UberXL,BTM Layout,Hebbal,1896.95,4.9
Non-AC Taxi,Kudlu Gate,Yeshwanthpur,450.55,22.68
eBike,Hebbal,Basavanagudi,1806.47,19.92
Go Sedan,Dasarahalli,Whitefield,0.0,0.0
UberXL,Jayanagar,Hosur Road,0.0,0.0
Uber Go,Varthur,BTM Layout,1448.44,9.68
Go Sedan,MG Road,Dasarahalli,0.0,0.0
Go Sedan,Dasarahalli,Hulimavu,1062.76,2.47
UberXL,Kudlu Gate,Yeshwanthpur,1957.35,13.73
UberXL,Sarjapur Road,Bommanahalli,723.63,15.65
Go Sedan,Lingarajapuram,Benson Town,342.27,16.9
Go Sedan,Koramangala,Domlur,0.0,0.0
Go Sedan,Hosur Road,Vidyaranyapura,0.0,0.0
eBike,Varthur,Magadi Road,0.0,0.0
Go Sedan,MG Road,Sarjapur Road,704.13,27.81
UberXL,Anekal,Vijayanagar,0.0,0.0
UberXL,Kammanahalli,Vidyaranyapura,271.3,21.14
Moto,Mahadevapura,Lingarajapuram,444.24,11.58
Uber Go,Dasarahalli,Mahadevapura,195.31,14.39
Moto,Domlur,Kudlu Gate,1117.39,4.27
Go Sedan,Sadashivanagar,Devanahalli,1537.26,1.52
Non-AC Taxi,Banashankari,Mahadevapura,266.55,2.38
Premier,Mahadevapura,RT Nagar,1123.42,29.76
eBike,Hennur,BTM Layout,1072.54,16.02
UberXL,Malleswaram,JP Nagar,1871.42,25.1
UberXL,Magadi Road,Benson Town,1701.61,29.62
Uber Go,Anekal,Anekal,425.03,26.69
Premier,Hosur Road,Sadashivanagar,0.0,0.0
Premier,JP Nagar,Frazer Town,0.0,0.0
Uber Go,Shivaji Nagar,Hebbal,1596.17,28.48
eBike,Hebbal,Kudlu Gate,162.96,29.46
Uber Go,Marathahalli,Kammanahalli,626.66,24.29
UberXL,Kammanahalli,Varthur,1481.41,20.69
Moto,Magadi Road,CV Raman Nagar,1100.1,20.91
Moto,Dasarahalli,Hulimavu,641.93,25.73
eBike,Domlur,Electronic City,495.54,13.18
eBike,Anekal,RT Nagar,0.0,0.0
Premier,Hulimavu,Devanahalli,0.0,0.0
Non-AC Taxi,Electronic City,Koramangala,695.22,26.15
eBike,Electronic City,Malleswaram,890.08,9.31
Go Sedan,Ulsoor,Hosur Road,266.42,8.31
Premier,JP Nagar,Koramangala,1440.98,17.47
Uber Go,Vijayanagar,Hebbal,1732.44,2.53
Go Sedan,Hebbal,BTM Layout,1871.75,21.22
UberXL,Vidyaranyapura,Banashankari,675.46,26.42
Moto,Whitefield,Mahadevapura,206.16,27.98
eBike,Dasarahalli,Frazer Town,1763.72,19.36
Premier,Yelahanka,Nagarbhavi,0.0,0.0
Moto,Yelahanka,Basaveshwaranagar,0.0,0.0
Non-AC Taxi,MG Road,Kudlu Gate,1994.09,26.5
Uber Go,Kengeri,BTM Layout,355.65,10.2
Go Sedan,Sarjapur Road,Basaveshwaranagar,0.0,0.0
Uber Go,Hulimavu,BTM Layout,1358.36,2.15
Premier,Hosur Road,Magadi Road,655.26,6.95
eBike,Shivaji Nagar,Bommanahalli,601.56,11.4
Moto,Mahadevapura,Nagarbhavi,0.0,0.0
Go Sedan,Varthur,Mahadevapura,1888.7,1.9
eBike,MG Road,BTM Layout,0.0,0.0
Moto,Hebbal,Sarjapur Road,0.0,0.0
UberXL,Hebbal,Bellandur,914.61,17.88
UberXL,Lingarajapuram,Bellandur,408.23,10.61
Premier,BTM Layout,Bannerghatta Road,0.0,0.0
UberXL,Kudlu Gate,Kengeri,409.03,4.41
Uber Go,Basaveshwaranagar,Yelahanka,0.0,0.0
Go Sedan,Devanahalli,KR Puram,629.88,20.36
Moto,Domlur,BTM Layout,1253.55,13.21
Go Sedan,Basavanagudi,RT Nagar,140.4,22.9
Moto,Nagarbhavi,Marathahalli,1457.09,7.34
Uber Go,Jayanagar,Vijayanagar,0.0,0.0
Moto,Yelahanka,Lingarajapuram,609.76,11.66
Premier,Electronic City,Basaveshwaranagar,1189.08,13.08
Go Sedan,Shivaji Nagar,Kammanahalli,1112.89,6.46
UberXL,Ulsoor,Kammanahalli,1860.97,21.86
Non-AC Taxi,Sarjapur Road,Hennur,0.0,0.0
Non-AC Taxi,Hosur Road,Bommanahalli,0.0,0.0
Go Sedan,RT Nagar,Ulsoor,1475.01,10.27
Moto,Bannerghatta Road,Indiranagar,0.0,0.0
eBike,Indiranagar,CV Raman Nagar,352.73,2.62
Moto,Richmond Town,Magadi Road,0.0,0.0
Go Sedan,Hormavu,Marathahalli,0.0,0.0
Uber Go,CV Raman Nagar,Sadashivanagar,173.22,25.46
Non-AC Taxi,Sadashivanagar,Cox Town,1042.61,5.94
Go Sedan,HSR Layout,Banashankari,791.66,1.8
Uber Go,Kadugodi,Vijayanagar,0.0,0.0
Non-AC Taxi,BTM Layout,Sadashivanagar,0.0,0.0
Uber Go,Hulimavu,Hormavu,0.0,0.0
UberXL,Magadi Road,Shivaji Nagar,666.94,17.2
Go Sedan,CV Raman Nagar,Lingarajapuram,360.43,19.5
UberXL,Whitefield,HSR Layout,1323.64,12.93
eBike,Banashankari,KR Puram,399.76,22.63
Uber Go,Frazer Town,Whitefield,629.97,24.61
Premier,Frazer Town,Sadashivanagar,1134.1,4.17
Uber Go,Rajajinagar,Koramangala,1538.91,14.41
Premier,Kammanahalli,Sadashivanagar,732.32,13.2
Go Sedan,CV Raman Nagar,Hosur Road,0.0,0.0
eBike,Hulimavu,CV Raman Nagar,591.54,14.06
Moto,Kengeri,Anekal,916.79,21.61
eBike,Rajajinagar,Whitefield,0.0,0.0
eBike,Rajajinagar,Vidyaranyapura,699.03,20.35
Uber Go,Frazer Town,Jayanagar,303.4,13.16
