Vehicle Type,Pickup Location,Drop Location,Ride Distance,Booking Value
Go Mini,Noida Film City,Udyog Bhawan,42.49,378.0
eBike,Rajiv Nagar,Pataudi Chowk,36.99,672.0
Bike,Jhilmil,Azadpur,15.34,861.0
Go Sedan,AIIMS,Pulbangash,13.44,146.0
Premier Sedan,Mundka,Ambience Mall,12.22,1324.0
Go Sedan,Udyog Vihar Phase 4,Sarai Kale Khan,7.46,193.0
Auto,Kanhaiya Nagar,Badshahpur,48.08,520.0
Go Mini,Saidulajab,Green Park,12.48,869.0
Go Mini,Rithala,Saket,33.46,186.0
Go Sedan,Qutub Minar,Faridabad Sector 15,30.24,73.0
Bike,Okhla,Rohini,11.95,445.0
Go Mini,Netaji Subhash Place,Tilak Nagar,33.74,817.0
Premier Sedan,IGNOU Road,Noida Sector 18,34.02,863.0
Go Mini,Maidan Garhi,Rohini West,3.44,415.0
Premier Sedan,Manesar,Kashmere Gate ISBT,31.82,188.0
Premier Sedan,Dwarka Sector 21,Vatika Chowk,11.45,647.0
Go Mini,Sultanpur,Sikanderpur,22.23,122.0
Go Sedan,Kirti Nagar,Khan Market,33.86,118.0
Go Mini,IIT Delhi,Mayur Vihar,15.8,226.0
Auto,India Gate,Cyber Hub,16.34,278.0
Premier Sedan,Satguru Ram Singh Marg,Raj Nagar Extension,15.47,416.0
Auto,Ashok Vihar,DLF Phase 3,30.22,628.0
Auto,Kadarpur,Mandi House,12.52,592.0
Bike,Panchsheel Park,Moolchand,24.28,597.0
Auto,Malviya Nagar,Vishwavidyalaya,36.3,493.0
Go Sedan,Sonipat,Indirapuram,13.54,165.0
Bike,Sohna Road,Gurgaon Sector 56,34.4,974.0
Go Mini,Rajiv Nagar,GTB Nagar,25.91,715.0
Auto,Sonipat,Hero Honda Chowk,49.59,151.0
Bike,Govindpuri,Paharganj,35.52,290.0
Go Mini,Noida Sector 62,Sonipat,36.67,1335.0
Bike,Adarsh Nagar,Jor Bagh,14.13,269.0
Auto,Mansarovar Park,Mundka,15.23,524.0
Bike,Sikanderpur,Badarpur,5.96,917.0
Auto,Lal Quila,Vasant Kunj,10.81,321.0
eBike,Kadarpur,Mehrauli,16.82,62.0
Go Mini,Kadarpur,Welcome,33.13,3795.0
Premier Sedan,Civil Lines Gurgaon,Lal Quila,23.51,145.0
Go Mini,Qutub Minar,Connaught Place,18.77,538.0
Auto,Aya Nagar,Khan Market,34.58,80.0
Auto,Rajouri Garden,MG Road,49.24,132.0
Premier Sedan,India Gate,Faridabad Sector 15,3.15,377.0
Premier Sedan,Ghaziabad,Okhla,25.13,438.0
Auto,Connaught Place,Anand Vihar,35.71,431.0
Go Sedan,Paharganj,RK Puram,21.01,387.0
Go Sedan,India Gate,Noida Extension,42.45,709.0
eBike,Adarsh Nagar,Lok Kalyan Marg,27.38,169.0
Auto,Pataudi Chowk,Pragati Maidan,18.43,1098.0
Premier Sedan,Chirag Delhi,New Colony,16.54,80.0
Uber XL,Okhla,Dwarka Sector 21,39.24,428.0
Auto,Barakhamba Road,Paharganj,41.87,562.0
Go Sedan,Vatika Chowk,Saket,45.36,750.0
Go Sedan,Shahdara,Nawada,29.37,710.0
Go Sedan,Tughlakabad,Sultanpur,17.31,352.0
Bike,Nawada,Karol Bagh,42.64,489.0
Bike,Nawada,Karol Bagh,42.64,489.0
Uber XL,Central Secretariat,Pulbangash,45.13,412.0
Go Sedan,INA Market,Ashram,24.18,269.0
Bike,Udyog Bhawan,Greater Noida,4.09,483.0
Go Mini,Chhatarpur,Hero Honda Chowk,43.82,267.0
eBike,Pataudi Chowk,Sonipat,3.63,1002.0
Auto,Paschim Vihar,Welcome,47.44,105.0
eBike,Anand Vihar,Moti Nagar,24.67,908.0
Premier Sedan,Bahadurgarh,Lajpat Nagar,41.11,207.0
Go Mini,New Delhi Railway Station,Lal Quila,36.71,672.0
Auto,Azadpur,Saidulajab,26.29,95.0
eBike,Bhikaji Cama Place,Vishwavidyalaya,34.44,698.0
Premier Sedan,Peeragarhi,Lok Kalyan Marg,9.54,1105.0
Premier Sedan,Lok Kalyan Marg,Kaushambi,45.15,424.0
Bike,IGI Airport,Civil Lines Gurgaon,35.45,1234.0
Auto,Ghitorni Village,Dilshad Garden,9.45,988.0
Go Sedan,Central Secretariat,Sonipat,43.48,625.0
Bike,Faridabad Sector 15,Rohini East,31.03,67.0
Go Sedan,Ashok Park Main,Tilak Nagar,37.52,102.0
Auto,IGI Airport,Subhash Nagar,47.97,242.0
Bike,Jahangirpuri,Lal Quila,11.07,438.0
Go Sedan,Rithala,IGI Airport,38.82,556.0
Bike,Kirti Nagar,INA Market,41.62,248.0
eBike,Greater Kailash,Kirti Nagar,33.28,1201.0
Bike,Maidan Garhi,RK Puram,45.32,1253.0
Bike,Adarsh Nagar,Ghaziabad,45.71,143.0
Auto,India Gate,Nehru Place,15.43,154.0
eBike,Rajiv Chowk,Nawada,8.85,451.0
Premier Sedan,IMT Manesar,Noida Sector 62,41.98,1217.0
Premier Sedan,IMT Manesar,Noida Sector 62,41.98,1217.0
Uber XL,Udyog Vihar,Chirag Delhi,4.2,168.0
Bike,Anand Vihar ISBT,Hauz Khas,10.8,289.0
Bike,Anand Vihar ISBT,Hauz Khas,10.8,289.0
Bike,Pitampura,Sarojini Nagar,31.34,302.0
Go Mini,Sarojini Nagar,Vinobapuri,37.62,1137.0
Bike,Sohna Road,DLF Phase 3,30.27,298.0
Bike,Sohna Road,DLF Phase 3,30.27,298.0
Premier Sedan,Vatika Chowk,Jor Bagh,49.21,249.0
Bike,RK Puram,Vasant Kunj,36.93,311.0
Go Mini,Welcome,Sarai Kale Khan,6.55,430.0
Auto,Meerut,Azadpur,4.74,324.0
Go Mini,Moolchand,Mandi House,5.41,1593.0
Go Mini,Moolchand,Mandi House,5.41,1593.0
Bike,IMT Manesar,Civil Lines Gurgaon,48.48,615.0
Bike,MG Road,Vishwavidyalaya,8.47,306.0
eBike,Sushant Lok,Khandsa,48.68,140.0
Bike,Mansarovar Park,Laxmi Nagar,27.17,726.0
Bike,Mansarovar Park,Laxmi Nagar,27.17,726.0
Auto,Greater Noida,Janakpuri,20.09,706.0
Bike,Ambience Mall,Sarojini Nagar,46.59,220.0
Go Mini,Noida Film City,Narsinghpur,25.4,193.0
Bike,Vishwavidyalaya,Udyog Bhawan,18.44,618.0
Go Sedan,Sushant Lok,Satguru Ram Singh Marg,47.82,247.0
Auto,Mundka,DLF Phase 3,21.73,169.0
Premier Sedan,Mansarovar Park,Chanakyapuri,35.97,753.0
Go Mini,Greater Kailash,Barakhamba Road,10.18,126.0
Premier Sedan,Samaypur Badli,Panchsheel Park,14.45,333.0
eBike,Noida Sector 62,Nawada,44.56,706.0
Auto,Uttam Nagar,Noida Extension,22.89,499.0
Auto,Patel Chowk,Welcome,47.1,664.0
Bike,IGI Airport,Indraprastha,30.37,653.0
Go Sedan,Jasola,Uttam Nagar,47.57,964.0
Auto,Rohini West,Lal Quila,10.18,957.0
Bike,Narsinghpur,Greater Noida,33.98,321.0
Bike,Narsinghpur,Greater Noida,33.98,321.0
Go Mini,Botanical Garden,Saket,33.86,257.0
Go Sedan,Ambience Mall,Rithala,48.2,685.0
Auto,IGNOU Road,Sarai Kale Khan,38.25,333.0
Auto,New Colony,Saidulajab,40.69,428.0
Bike,Sushant Lok,South Extension,7.28,820.0
Go Sedan,Tilak Nagar,Vaishali,18.03,737.0
Premier Sedan,Panipat,Arjangarh,4.71,174.0
Go Mini,Janakpuri,Hauz Rani,37.34,256.0
Auto,Sushant Lok,Vatika Chowk,8.31,492.0
Auto,Connaught Place,Sultanpur,12.16,860.0
Premier Sedan,Azadpur,Nehru Place,33.63,187.0
Bike,Anand Vihar,Sarai Kale Khan,44.98,425.0
Bike,Anand Vihar,Sarai Kale Khan,44.98,425.0
Bike,Subhash Nagar,Jahangirpuri,15.32,417.0
Go Mini,Central Secretariat,Bahadurgarh,20.27,111.0
Go Sedan,Madipur,Karkarduma,26.84,1281.0
Auto,Jahangirpuri,Ghitorni,48.14,408.0
eBike,IGI Airport,Badarpur,35.17,128.0
eBike,IGI Airport,Badarpur,35.17,128.0
Go Mini,Hauz Rani,Keshav Puram,9.58,166.0
Go Sedan,Badarpur,Hauz Rani,6.55,88.0
Premier Sedan,Palam Vihar,Moolchand,6.09,420.0
Premier Sedan,Gwal Pahari,South Extension,14.93,904.0
eBike,Shastri Park,Gurgaon Railway Station,12.61,950.0
Auto,Dilshad Garden,Sarojini Nagar,32.84,1903.0
Go Mini,Mandi House,Sultanpur,16.13,209.0
Auto,Vinobapuri,Chanakyapuri,11.99,387.0
Auto,Anand Vihar ISBT,Satguru Ram Singh Marg,15.79,291.0
Auto,Huda City Centre,Pulbangash,43.79,418.0
Go Sedan,Adarsh Nagar,Bahadurgarh,7.78,933.0
Auto,Yamuna Bank,Lal Quila,4.36,422.0
Auto,Ardee City,Kashmere Gate,15.1,911.0
Uber XL,Palam Vihar,Punjabi Bagh,27.47,142.0
Bike,Vidhan Sabha,Sikanderpur,44.1,918.0
Auto,Lajpat Nagar,Sultanpur,8.73,694.0
Go Sedan,Manesar,Basai Dhankot,6.63,169.0
Go Mini,Peeragarhi,Sadar Bazar Gurgaon,32.6,852.0
Bike,Munirka,Meerut,11.04,509.0
Go Sedan,Pataudi Chowk,IIT Delhi,48.72,110.0
Bike,IGI Airport,Shahdara,18.19,99.0
Bike,IGI Airport,Shahdara,18.19,99.0
Bike,Lok Kalyan Marg,Jhilmil,13.86,610.0
Bike,Mehrauli,Vaishali,36.33,111.0
Auto,Tughlakabad,Raj Nagar Extension,12.88,542.0
Go Mini,Rajiv Chowk,Palam Vihar,43.63,716.0
Auto,Meerut,Munirka,5.54,92.0
Auto,Noida Sector 18,Basai Dhankot,38.59,227.0
Auto,Jama Masjid,Nehru Place,29.91,1538.0
Go Sedan,Maidan Garhi,Tis Hazari,21.54,332.0
Go Mini,Pulbangash,DLF Phase 3,4.02,102.0
Auto,Jor Bagh,Jhilmil,23.79,659.0
Premier Sedan,Kaushambi,Saket A Block,44.81,870.0
eBike,Malviya Nagar,Rajouri Garden,33.87,138.0
eBike,Civil Lines Gurgaon,Qutub Minar,23.58,176.0
Bike,Vinobapuri,Ardee City,17.01,556.0
Auto,Vaishali,Janakpuri,6.95,386.0
Go Sedan,Govindpuri,Rohini West,25.22,427.0
Auto,Dwarka Sector 21,Noida Film City,33.14,756.0
Auto,New Colony,Basai Dhankot,49.61,183.0
Auto,Rohini,Preet Vihar,48.57,82.0
Go Sedan,Jahangirpuri,Chandni Chowk,15.31,2715.0
Go Mini,Saidulajab,Greater Noida,22.51,375.0
Go Mini,Saidulajab,Greater Noida,22.51,375.0
Uber XL,Shastri Park,ITO,5.17,166.0
Go Sedan,Kaushambi,Lal Quila,24.08,908.0
Go Mini,Shastri Park,Tagore Garden,42.27,312.0
Premier Sedan,Bhikaji Cama Place,Narsinghpur,49.41,154.0
eBike,Cyber Hub,Netaji Subhash Place,9.64,966.0
Go Sedan,Tagore Garden,Mundka,33.77,499.0
Auto,IGNOU Road,Munirka,22.24,632.0
Uber XL,Saidulajab,Noida Sector 18,15.64,894.0
Bike,Kaushambi,South Extension,31.98,194.0
Bike,Kashmere Gate,Okhla,41.64,586.0
Premier Sedan,Saket,GTB Nagar,27.93,139.0
Go Mini,Khandsa,Sonipat,5.92,102.0
Go Sedan,Khandsa,Huda City Centre,3.99,313.0
Premier Sedan,Govindpuri,Qutub Minar,25.58,658.0
Go Mini,Rajouri Garden,Seelampur,33.25,1268.0
Auto,Karkarduma,Central Secretariat,2.09,228.0
eBike,Noida Film City,Pataudi Chowk,35.85,649.0
Auto,Jasola,Adarsh Nagar,3.08,844.0
Auto,Jasola,Adarsh Nagar,3.08,844.0
Auto,Pulbangash,Sarojini Nagar,41.96,160.0
Go Sedan,Meerut,Gwal Pahari,40.74,260.0
Go Mini,Preet Vihar,Nawada,44.14,175.0
Go Sedan,Udyog Vihar,Hero Honda Chowk,2.02,209.0
Go Mini,Shastri Nagar,Kashmere Gate ISBT,13.64,369.0
Premier Sedan,Khan Market,Ghaziabad,17.1,971.0
Auto,Connaught Place,Udyog Vihar,20.8,1716.0
Go Mini,Green Park,Vasant Kunj,19.29,590.0
Go Mini,Kirti Nagar,IGNOU Road,34.08,846.0
Go Sedan,Central Secretariat,Udyog Bhawan,12.47,217.0
Auto,Faridabad Sector 15,Adarsh Nagar,41.83,738.0
Auto,Faridabad Sector 15,Adarsh Nagar,41.83,738.0
Auto,Tagore Garden,Chanakyapuri,20.5,318.0
Premier Sedan,Sushant Lok,Panipat,36.33,435.0
Premier Sedan,Laxmi Nagar,Saidulajab,30.29,739.0
Premier Sedan,Punjabi Bagh,Sarojini Nagar,40.72,999.0
Bike,Madipur,Kadarpur,14.87,700.0
Bike,Rohini,Ghitorni,19.7,250.0
Auto,Lok Kalyan Marg,Govindpuri,5.5,388.0
Go Sedan,Bhikaji Cama Place,Badshahpur,41.74,348.0
Go Mini,Mandi House,Sohna Road,19.03,81.0
eBike,Khandsa,Seelampur,16.43,737.0
Go Mini,Bhikaji Cama Place,Udyog Vihar Phase 4,49.92,359.0
Bike,AIIMS,Maidan Garhi,26.9,771.0
Bike,Netaji Subhash Place,Jahangirpuri,24.27,587.0
Bike,Malviya Nagar,Civil Lines Gurgaon,12.16,328.0
Go Mini,ITO,Azadpur,7.95,285.0
eBike,Shivaji Park,Dilshad Garden,17.77,266.0
Go Mini,Rithala,Greater Kailash,33.34,1836.0
Go Mini,Saket A Block,Netaji Subhash Place,39.46,653.0
Go Mini,Vinobapuri,Nawada,15.72,532.0
Bike,RK Puram,Badarpur,27.18,471.0
Auto,Hauz Rani,Rajiv Nagar,3.76,163.0
Auto,Hauz Rani,Rajiv Nagar,3.76,163.0
Bike,Botanical Garden,IIT Delhi,43.71,1015.0
Premier Sedan,Hauz Rani,IIT Delhi,38.97,212.0
Premier Sedan,Hauz Rani,IIT Delhi,38.97,212.0
Auto,Rajouri Garden,Punjabi Bagh,32.48,3984.0
Go Mini,Udyog Vihar,Model Town,47.8,377.0
Go Mini,ITO,Jahangirpuri,24.68,195.0
Auto,Saket,South Extension,43.2,206.0
Auto,Akshardham,Panipat,32.56,631.0
Premier Sedan,Karol Bagh,Samaypur Badli,31.08,816.0
Bike,Jor Bagh,Shastri Nagar,38.98,460.0
Premier Sedan,Green Park,Jama Masjid,42.5,789.0
Auto,Chanakyapuri,Basai Dhankot,46.88,406.0
Premier Sedan,Nehru Place,Jahangirpuri,14.57,397.0
Auto,New Delhi Railway Station,Kirti Nagar,27.3,890.0
Auto,Palam Vihar,Aya Nagar,48.75,521.0
Go Mini,Sohna Road,New Delhi Railway Station,19.21,518.0
Go Sedan,Kalkaji,Pitampura,9.49,424.0
Bike,Govindpuri,ITO,2.16,485.0
Go Mini,Ashram,Maidan Garhi,35.88,477.0
Go Sedan,Basai Dhankot,Khan Market,11.36,353.0
Go Sedan,Udyog Vihar Phase 4,Connaught Place,15.98,178.0
Bike,Kaushambi,Hauz Khas,40.09,211.0
Auto,Cyber Hub,Sohna Road,27.06,206.0
Auto,Dwarka Sector 21,Rohini,18.71,984.0
Auto,Udyog Bhawan,South Extension,46.44,726.0
Uber XL,MG Road,Gurgaon Sector 29,26.95,415.0
Auto,Kalkaji,Khandsa,45.06,792.0
Go Sedan,Central Secretariat,Sarai Kale Khan,21.7,596.0
Go Mini,Indraprastha,Ramesh Nagar,6.89,880.0
Uber XL,Netaji Subhash Place,Green Park,37.79,367.0
Auto,Netaji Subhash Place,Golf Course Road,9.52,456.0
Auto,Preet Vihar,Uttam Nagar,30.65,180.0
Auto,Preet Vihar,Uttam Nagar,30.65,180.0
Auto,Badshahpur,Patel Chowk,20.25,584.0
Auto,IFFCO Chowk,GTB Nagar,33.53,711.0
eBike,Kaushambi,Pataudi Chowk,18.55,426.0
Go Sedan,Connaught Place,Hauz Khas,35.68,666.0
Premier Sedan,Green Park,Netaji Subhash Place,37.43,339.0
eBike,Laxmi Nagar,Indraprastha,26.25,215.0
Go Mini,Pragati Maidan,Preet Vihar,7.97,135.0
Auto,Noida Sector 62,Saidulajab,18.76,471.0
Go Mini,Nehru Place,Welcome,2.89,251.0
Go Sedan,Anand Vihar ISBT,Basai Dhankot,15.33,821.0
Go Mini,Ashok Vihar,Samaypur Badli,17.5,169.0
Auto,Civil Lines Gurgaon,South Extension,23.4,292.0
Go Mini,Saket,IGNOU Road,39.34,211.0
eBike,South Extension,Kalkaji,27.81,760.0
eBike,DLF City Court,South Extension,37.44,966.0
eBike,Ramesh Nagar,Keshav Puram,38.17,1563.0
Bike,Kirti Nagar,IGI Airport,8.31,62.0
Auto,Vinobapuri,Adarsh Nagar,12.64,438.0
Auto,Kalkaji,Patel Chowk,6.97,543.0
Premier Sedan,Jasola,Kalkaji,48.78,73.0
Go Mini,AIIMS,Ghaziabad,20.69,414.0
Premier Sedan,Shahdara,IGNOU Road,44.65,1068.0
Go Mini,Mansarovar Park,Palam Vihar,25.86,540.0
Go Sedan,Hero Honda Chowk,Meerut,49.06,337.0
Go Mini,Hero Honda Chowk,Janakpuri,27.67,299.0
Go Mini,New Delhi Railway Station,Basai Dhankot,35.63,138.0
Go Mini,New Delhi Railway Station,Basai Dhankot,35.63,138.0
Premier Sedan,Kashmere Gate ISBT,Ashok Park Main,29.62,547.0
Go Mini,Rajouri Garden,Narsinghpur,15.07,557.0
Go Sedan,Mandi House,Jahangirpuri,18.24,168.0
Go Mini,Saket,Chirag Delhi,49.88,217.0
Go Mini,Saket,Chirag Delhi,49.88,217.0
Go Mini,Kashmere Gate,Pitampura,46.2,113.0
Go Sedan,Ashok Vihar,Jhilmil,40.44,272.0
Auto,Golf Course Road,Rajouri Garden,2.56,642.0
Go Sedan,DLF City Court,Ashok Park Main,26.63,528.0
Premier Sedan,Sikanderpur,Kanhaiya Nagar,4.52,607.0
Go Sedan,Gurgaon Railway Station,Jasola,8.87,433.0
Go Sedan,Gurgaon Railway Station,Jasola,8.87,433.0
Go Sedan,Narsinghpur,Shastri Park,17.23,71.0
Go Sedan,Kalkaji,Vidhan Sabha,33.93,816.0
Go Sedan,IGI Airport,Sonipat,7.83,1758.0
Uber XL,Subhash Chowk,Jahangirpuri,23.75,1528.0
Premier Sedan,Jasola,Netaji Subhash Place,13.94,86.0
Go Sedan,Ghitorni,Hauz Rani,41.77,881.0
Uber XL,Gwal Pahari,Saket A Block,39.72,1183.0
Bike,Barakhamba Road,Bhiwadi,23.54,566.0
Bike,New Colony,Pulbangash,31.99,450.0
Auto,Chandni Chowk,Hauz Rani,17.61,681.0
Go Mini,Green Park,Sushant Lok,37.45,340.0
Go Sedan,AIIMS,Paschim Vihar,2.1,588.0
Bike,Paharganj,DLF Phase 3,29.73,1452.0
Premier Sedan,New Colony,Uttam Nagar,6.77,349.0
Go Mini,Ghitorni,Noida Sector 62,44.37,51.0
Bike,Moolchand,Hauz Rani,28.99,974.0
Bike,Old Gurgaon,Tughlakabad,18.59,129.0
Auto,Central Secretariat,Sikanderpur,29.86,124.0
Bike,DLF City Court,Badarpur,37.72,375.0
Auto,Yamuna Bank,Ashram,46.91,426.0
Go Mini,IGNOU Road,Model Town,33.36,235.0
Bike,Narsinghpur,RK Puram,44.18,666.0
Bike,Narsinghpur,RK Puram,44.18,666.0
Go Mini,RK Puram,Noida Sector 18,16.03,323.0
Uber XL,Palam Vihar,Paschim Vihar,16.48,364.0
Go Sedan,Rohini West,Shahdara,16.38,621.0
eBike,Rohini West,Model Town,4.86,87.0
Go Sedan,Nirman Vihar,Sikanderpur,10.99,1449.0
Go Sedan,Lal Quila,Green Park,26.19,262.0
Auto,Jasola,New Colony,9.37,237.0
eBike,Lal Quila,Golf Course Road,13.44,271.0
Auto,Panipat,GTB Nagar,28.93,275.0
Auto,Bhikaji Cama Place,Moti Nagar,29.24,337.0
Premier Sedan,Hero Honda Chowk,Botanical Garden,14.15,73.0
Premier Sedan,Gwal Pahari,INA Market,4.27,680.0
Go Sedan,GTB Nagar,INA Market,21.72,400.0
Go Sedan,GTB Nagar,INA Market,21.72,400.0
eBike,Malviya Nagar,Barakhamba Road,36.7,476.0
Go Mini,Pitampura,Tis Hazari,8.17,177.0
Go Mini,Pitampura,Tis Hazari,8.17,177.0
Go Mini,Lok Kalyan Marg,Bhikaji Cama Place,42.49,66.0
Go Mini,DLF City Court,Shastri Park,36.49,278.0
Go Sedan,Preet Vihar,Chanakyapuri,30.94,492.0
Auto,Ghitorni Village,Patel Chowk,6.55,502.0
Bike,DLF City Court,New Colony,36.56,2251.0
Bike,DLF City Court,New Colony,36.56,2251.0
Go Sedan,Vishwavidyalaya,Satguru Ram Singh Marg,29.03,363.0
Auto,Badarpur,Old Gurgaon,23.23,404.0
Go Sedan,Pragati Maidan,Ghitorni Village,23.87,540.0
Go Mini,Kashmere Gate,Bhikaji Cama Place,25.4,302.0
Auto,Panchsheel Park,Keshav Puram,11.7,267.0
Auto,Laxmi Nagar,Uttam Nagar,24.36,870.0
Bike,Connaught Place,IFFCO Chowk,11.8,707.0
Auto,Kirti Nagar,Uttam Nagar,25.59,357.0
Auto,Model Town,Shastri Park,43.44,197.0
Bike,Subhash Nagar,Civil Lines Gurgaon,38.66,459.0
Premier Sedan,Malviya Nagar,Subhash Nagar,5.38,374.0
Premier Sedan,Inderlok,Rithala,24.82,833.0
Auto,Tis Hazari,Aya Nagar,44.86,410.0
Go Mini,Gurgaon Sector 29,DLF Phase 3,49.73,534.0
Go Mini,Bhikaji Cama Place,Moti Nagar,9.59,1759.0
Auto,Bahadurgarh,IIT Delhi,31.91,140.0
Go Sedan,Indirapuram,Dilshad Garden,44.5,108.0
Bike,Meerut,Ghitorni,43.93,670.0
eBike,Hero Honda Chowk,Palam Vihar,15.52,97.0
Go Mini,Vidhan Sabha,Paharganj,20.87,782.0
Premier Sedan,Gurgaon Railway Station,AIIMS,23.12,71.0
Premier Sedan,Gurgaon Railway Station,AIIMS,23.12,71.0
Go Mini,Panipat,Ashok Park Main,11.72,1087.0
Auto,Sultanpur,Subhash Nagar,42.36,737.0
Premier Sedan,Ambience Mall,Bhiwadi,22.2,922.0
Bike,Delhi Gate,Vishwavidyalaya,10.92,125.0
Auto,Saidulajab,Sarai Kale Khan,11.96,192.0
Auto,Pulbangash,Paharganj,47.84,704.0
Go Mini,Tughlakabad,Mayur Vihar,15.93,668.0
eBike,Noida Extension,Akshardham,39.2,149.0
Go Mini,India Gate,Vatika Chowk,13.15,825.0
Go Mini,Dwarka Mor,Kanhaiya Nagar,7.48,303.0
Auto,Chhatarpur,Ghaziabad,9.9,598.0
Premier Sedan,IGNOU Road,Laxmi Nagar,20.42,949.0
Go Mini,Madipur,Pitampura,48.13,382.0
Go Sedan,Aya Nagar,Sonipat,16.71,465.0
Go Sedan,Paharganj,Hauz Rani,44.27,294.0
Auto,Golf Course Road,Chanakyapuri,7.73,136.0
Go Sedan,Panchsheel Park,Palam Vihar,8.65,397.0
Bike,Aya Nagar,Vatika Chowk,6.11,443.0
Go Mini,Saket A Block,Keshav Puram,44.88,481.0
Go Mini,Bahadurgarh,Jahangirpuri,35.98,852.0
Uber XL,Udyog Bhawan,Tughlakabad,11.42,931.0
Auto,India Gate,Jasola,41.74,821.0
Go Sedan,Anand Vihar,Paharganj,24.4,131.0
Go Mini,Munirka,Cyber Hub,47.54,682.0
Bike,Mehrauli,IIT Delhi,38.91,160.0
eBike,Peeragarhi,Yamuna Bank,37.26,972.0
Premier Sedan,New Colony,Madipur,25.75,69.0
Go Sedan,Kirti Nagar,Samaypur Badli,7.16,315.0
Premier Sedan,Indirapuram,Greater Kailash,4.18,465.0
Go Sedan,Kirti Nagar,Dwarka Sector 21,45.34,653.0
Bike,Vidhan Sabha,Nawada,18.08,218.0
Auto,Central Secretariat,Badshahpur,45.28,937.0
Go Sedan,Sarojini Nagar,Patel Chowk,31.37,1384.0
Bike,Kanhaiya Nagar,South Extension,31.56,219.0
Auto,Hauz Khas,Dwarka Mor,45.18,341.0
Auto,Ashok Vihar,Model Town,12.99,683.0
Go Mini,Mehrauli,India Gate,35.14,187.0
Auto,Noida Extension,Barakhamba Road,35.58,182.0
Bike,Govindpuri,Saket A Block,28.25,78.0
Go Sedan,Noida Film City,Lal Quila,13.68,372.0
Auto,Sikanderpur,Mundka,49.05,84.0
Go Sedan,INA Market,Seelampur,12.47,938.0
Go Sedan,INA Market,Seelampur,12.47,938.0
Bike,Jor Bagh,Bhikaji Cama Place,21.43,1560.0
Go Sedan,Kashmere Gate ISBT,Sarojini Nagar,34.82,316.0
Go Sedan,Green Park,Manesar,36.34,432.0
Go Mini,IMT Manesar,IIT Delhi,22.14,1073.0
Auto,Mayur Vihar,Delhi Gate,30.91,116.0
Go Mini,Kashmere Gate ISBT,Sonipat,15.7,472.0
Go Sedan,Khan Market,Kanhaiya Nagar,14.27,214.0
Go Sedan,Khan Market,Kanhaiya Nagar,14.27,214.0
Go Mini,Dwarka Mor,Tilak Nagar,48.15,241.0
Auto,Vasant Kunj,Pitampura,38.37,599.0
eBike,Kashmere Gate ISBT,Peeragarhi,42.25,218.0
Auto,Golf Course Road,Nirman Vihar,10.65,129.0
Go Mini,DLF City Court,Arjangarh,39.42,242.0
Go Mini,Ashok Park Main,Malviya Nagar,6.6,351.0
Go Mini,Ashok Park Main,Malviya Nagar,6.6,351.0
eBike,Sultanpur,Botanical Garden,28.15,228.0
Auto,Saket A Block,Vasant Kunj,5.94,170.0
Auto,Shahdara,Kanhaiya Nagar,43.31,1135.0
Premier Sedan,Jor Bagh,Sarojini Nagar,20.67,335.0
Premier Sedan,Sarojini Nagar,ITO,49.01,487.0
Premier Sedan,Peeragarhi,Preet Vihar,48.89,177.0
Auto,Palam Vihar,Qutub Minar,10.62,399.0
Auto,New Delhi Railway Station,Kadarpur,14.36,382.0
Bike,Pulbangash,India Gate,24.63,222.0
Bike,Sarai Kale Khan,Gurgaon Railway Station,48.03,195.0
Go Mini,Laxmi Nagar,Huda City Centre,46.76,67.0
eBike,Mandi House,Ghaziabad,45.2,476.0
Auto,Nirman Vihar,Tilak Nagar,17.26,127.0
Premier Sedan,Uttam Nagar,RK Puram,4.48,50.0
Auto,Jor Bagh,Chandni Chowk,22.77,699.0
Auto,Jor Bagh,Chandni Chowk,22.77,699.0
Auto,Welcome,Munirka,35.29,328.0
Go Mini,Rajouri Garden,Sikanderpur,35.05,72.0
Auto,Palam Vihar,Model Town,49.81,363.0
Auto,Palam Vihar,Model Town,49.81,363.0
Go Sedan,Dwarka Sector 21,Vishwavidyalaya,31.1,468.0
Go Sedan,Mandi House,Mundka,29.51,712.0
Bike,Kaushambi,Sonipat,41.46,780.0
Bike,Ghitorni,Mayur Vihar,12.39,642.0
Bike,Kashmere Gate,DLF City Court,15.03,114.0
Bike,Mansarovar Park,Rohini East,19.48,420.0
Auto,South Extension,Pataudi Chowk,34.37,112.0
Go Sedan,MG Road,Nirman Vihar,10.54,668.0
Premier Sedan,Barakhamba Road,India Gate,32.71,492.0
Go Mini,Keshav Puram,Golf Course Road,39.31,246.0
Auto,Rithala,Tagore Garden,43.34,118.0
Go Sedan,Rajiv Chowk,Vasant Kunj,49.43,356.0
Go Sedan,Rajiv Chowk,Vasant Kunj,49.43,356.0
Premier Sedan,Huda City Centre,Subhash Nagar,44.98,917.0
Go Mini,Ghitorni,Qutub Minar,8.24,549.0
Go Sedan,ITO,New Delhi Railway Station,8.61,161.0
Go Sedan,ITO,New Delhi Railway Station,8.61,161.0
eBike,Greater Noida,Noida Film City,33.88,164.0
Premier Sedan,Vasant Kunj,Chirag Delhi,31.54,210.0
Go Mini,New Colony,Govindpuri,36.04,410.0
Premier Sedan,Hero Honda Chowk,Central Secretariat,3.81,822.0
